cm_key,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,mvar34,mvar35,mvar36,mvar37,mvar38,mvar39,mvar40,mvar41,mvar42,mvar43,mvar44,mvar45
70020,Charge      ,0,0,4,29,784,0.7969,0.231,792300,0,4.7893,Transport          ,15,1,0,22.23,0,0,75.73,0,0,0,0,101.33,146.86,100.82,147.37,11966.57,10641.69,11219.19,15231.43,18423.3,16175.77,22566.32,24331.14,24453.64,18569.1,19601.95,21410.46,0,0,0,0,0,0
70021,Charge      ,0,0,4,29,381,0.7969,0,2918974,0,1.176,Unknown            ,15,1,3,199.29,135.03,52.66,56.81,0,0,0,0,1.73,67.47,28.64,40.56,0,0,0,0,0,0,0,0,19771.79,8389.7,8407.36,10307.21,0,0,0,0,0,0
70022,Charge      ,0,53460,1,23,1362,0.0001,0.1155,110922,1,0,Construction       ,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13500.81,25278.8,0,0,0,0,0,0
70023,Charge      ,0,0,2,6,0,0.9023,0,39497,0,4.3419,Unknown            ,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31908.69,37955.38,0,0,0,0,0,0,0,0
70024,Charge      ,2,0,1,11,1471,0.1886,0.4513,347094,1,2.9025,Social services    ,18,1,0,39.47,0.88,0,314.69,0,483.44,0,934.28,314.69,4.69,83.71,235.67,332.31,562.83,608.74,595.84,10629.18,19867.79,18386.93,13963.73,12422.44,11823.83,12836.43,24706.21,1,0,0,0,0,0
70025,Charge      ,0,136323,3,276,441,0.3335,0.1831,126768,0,2.1779,Misc services      ,7,1,0,32.02,0,11.2,9.79,0,0,372.6,0,0,0,0,0,105.06,258.01,273.35,244.81,13449.57,11424.94,15225.29,14937.5,22485.22,11118.83,16783.27,9749.79,0,0,0,0,0,0
70026,Charge      ,2,80190,3,355,490,0.7214,0.4275,3843478,0,6.5069,Durable goods      ,14,1,0,0,0,113.41,52.47,0,0,547.89,0,3197.68,2844.07,155.01,5886.74,74.77,124.29,165.45,148.75,51738.53,42752.78,49314.9,64835.62,70211.9,31574.84,45494.5,55321.51,1,0,0,1,0,0
70027,Charge      ,0,5346,6,95,302,0.0813,0.1155,39615,0,1.3851,Entertainment      ,14,1,0,6.22,0,2.66,0,25.48,46.88,0,0,68.28,54.8,43.37,79.71,114.44,94.31,47.72,49.62,3050.4,3782.26,3491.31,1348.17,3385.64,11150.64,3276.73,1351.16,0,0,0,0,0,0
70028,Charge      ,1,0,3,120,1635,1.6804,0.3243,1230726,1,4.1473,Finance            ,10,1,1,373.87,339.36,361.35,15.13,7100.16,29119.63,11019.02,11796.56,1017.14,280.43,1177.24,120.33,264.53,361.44,365.84,488.38,64322.64,67316.89,42824.03,54096.83,84903.79,73135.47,46164.15,44345.48,2,0,1,0,0,0
70029,Charge      ,6,106920,5,21,2801,1.0229,0.5226,2331947,1,6.0723,Misc services      ,16,1,0,5184.89,2206.2,1039.24,1480.94,1795.44,615.1,2806.37,780.43,8095.52,20146.53,24728.37,3513.68,127.05,20.2,79.36,219.06,227685.52,241839.87,255070.06,193288.25,309128.19,103763,133521.97,129961.05,0,0,0,0,0,0
70030,Charge      ,0,153430,12,1,1856,0.2428,0,2918974,1,2.7071,Personal services  ,11,1,0,824.18,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36518.17,14111.69,17285.53,20102.35,0,0,1,0,0,0
70031,Charge      ,1,0,10,8,0,0.0001,0,2918974,0,0.2359,Unknown            ,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.61,2130.85,0,0,0,0,0,0,0
70032,Charge      ,4,0,2,36,1635,0.0883,0.3243,3351429,1,2.8151,Durable goods      ,11,1,0,683.09,489.57,442.19,205.59,1032.78,779.39,1245.65,498.88,41.59,98.61,111.86,28.34,0,0,0,0,0,0,0,0,11263.38,5220.67,10278.14,6699.58,0,0,0,0,0,0
70033,Charge      ,4,0,2,12,1166,2.0727,0.3838,519673,0,6.835,Misc services      ,16,1,0,154.21,17639.16,16207.34,126.28,3564.02,3184.04,2.58,830.6,139.58,1445.92,463.12,1122.38,0,0,0,0,0,0,0,0,240978.4,182073.1,216960.71,257522.96,0,0,0,0,0,0
70034,Charge      ,0,0,5,26,1962,0.0586,0,0,1,2.982,Office supplies    ,15,1,0,0,1020.2,44.55,0,0,0,0,140.92,4.52,10.48,1.04,13.96,0,0,0,0,0,0,0,0,12841.87,3886.17,6037.97,4441.81,0,0,0,0,0,0
70035,Charge      ,3,0,4,16,2098,0.8013,0,2918974,0,5.9485,Automotive         ,15,1,0,1139.74,679.45,413.38,363.31,0,109.28,0,0,1445.26,4607.97,3935.23,2118,1516.43,3189.98,4283.75,2511.83,82349.22,65496.63,55561.92,57569.45,142548.82,69719.19,66262.53,40634.93,0,0,0,0,0,0
70036,Charge      ,0,192456,5,11,485,0.7969,0,2918974,1,2.4723,Unknown            ,13,1,0,443.72,15.99,1.76,5.31,6693.25,213.31,1534.93,2789.05,3.94,62.24,13.61,52.57,324.19,17.99,174.38,397.92,24911.58,25362.9,22052.87,30423.53,35905.14,24460.08,21496.83,28304.51,1,1,0,0,1,0
70037,Charge      ,0,0,2,7,0,0.7969,0,2918974,0,0.9455,Non durable goods  ,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810.5,7787.3,4196.63,1981.82,2154.28,1620.22,357.71,0,1,0,0,0,0,0
70038,Charge      ,2,51678,6,1,694,0.2944,0.231,327275,1,1.9973,Social services    ,0,1,1,621.37,505.16,384.91,384.91,57.42,2305.68,0,0,1972.65,2145.75,2673.29,1445.11,0,0,0,0,0,0,0,0,26593.36,23174.96,10665.61,7521.72,0,0,0,0,0,0
70039,Charge      ,3,0,2,42,0,0.1514,0.3466,477309,1,3.7043,Household          ,13,0,0,92.06,72.06,0,0,0,0,0,0,208.89,253.11,106.2,355.8,251.1,30.3,39.27,0,11334.42,8467.89,0,0,14167.14,11136.7,0,0,1,0,0,1,0,0
70040,Charge      ,0,0,12,61,654,0.1051,0.1831,126768,0,1.3139,Construction       ,16,1,0,68.01,0,269.53,0,0,0,290.71,0,0,0,0,0,0,0,0,0,0,0,0,0,19679.29,6093.42,8132.76,4776.27,0,0,0,0,0,0
70041,Charge      ,1,0,3,12,245,0.5118,0.1155,432121,0,1.9794,Personal services  ,11,1,1,0,0,0,0,1018.27,1584.26,0,451.78,0,0,0,0,130.07,85.9,87.41,156.52,37794.63,14542.14,9580.92,8952.39,7467.36,20212.5,6368.35,3459.83,0,0,0,0,0,0
70042,Charge      ,0,0,4,9,981,0.7969,0,2918974,0,5.5377,Household          ,10,1,0,15670.5,7764.68,6284.38,300.84,1340.29,264.97,0,325.62,961.99,633.34,289.65,1305.68,0,0,0,0,0,0,0,0,129220.68,59757.92,49043.74,11246.32,0,0,0,0,0,0
70043,Charge      ,0,176418,2,43,1357,0.7969,0.2986,493270,1,5.699,Misc services      ,15,1,0,6346.8,4.43,268.14,8.02,1842.16,1834.12,11.31,952.97,3841.01,214.33,1140.87,2914.47,289.83,1070.85,808.11,1421.93,165423.7,112706.83,79218.49,73281.67,143014.88,92296.61,71640.73,57896.04,2,0,0,2,0,0
70044,Charge      ,1,0,2,9,0,0.203,0.2682,90556,0,3.9204,Office supplies    ,14,1,0,2.65,0,0,0,0,0,0,193.26,124.86,362.54,265.15,222.25,2.32,0,0,0,10860.35,17128.02,1191.35,177.16,18694.14,22222.37,2945.05,241.18,2,0,0,1,0,0
70045,Charge      ,0,0,5,33,425,0.0306,0,2918974,0,2.2721,Unknown            ,13,1,0,0,0,66.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447.98,4195.59,11721.3,3048.62,0,0,0,0,0,0
70046,Charge      ,0,0,1,355,501,0.1364,0,59682,0,1.4652,Misc services      ,7,1,1,2.82,33.57,12.47,33.57,0,324.24,0,1418.99,54.86,55.37,59.32,50.91,0,0,0,0,0,0,0,0,10758.12,8518.62,5017.85,6916.44,0,0,0,0,0,0
70047,Charge      ,0,151470,4,290,531,0.0914,0.1155,142614,1,0.9923,Social services    ,14,1,0,0,0,0,0,1164.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10926.84,37.81,362.51,0,0,0,0,0,0,0
70048,Charge      ,0,0,2,323,163,0.0023,0.1831,110922,0,0.9669,Misc services      ,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190.07,184.24,292.36,523.86,0,0,0,0,0,0
70049,Charge      ,4,0,1,274,2387,1.4232,0.5365,17013057,1,4.3561,Durable goods      ,17,1,1,143.59,243.86,2189.43,109.59,4008.16,2301.55,1168.34,1710.55,283.55,320.89,11.73,592.71,2367.4,2417.7,3281.51,3184.4,90073.62,127873.86,71588.64,78148.33,127819.29,97843.41,65574.51,70644.84,2,0,1,0,0,0
70050,Charge      ,4,0,2,82,2665,2.0445,0,2918974,1,3.4642,Social services    ,16,1,0,2334.68,1380.62,1324.12,1176.4,6597.28,6590.8,2741.35,676.63,240.05,821.04,50.85,1010.24,0,0,0,0,0,0,0,0,172306.1,103602.27,88290,55712.9,0,0,0,0,0,0
70051,Charge      ,1,0,2,14,103,0.2982,0,2918974,0,5.2151,Office supplies    ,17,1,0,0,0,0,0,0,820.47,0,0,0,0,0,0,0,0,35.62,0,25395.52,16366.89,40791.08,32093.53,141684.59,10810.23,47006.87,19635.9,1,0,0,0,0,0
70052,Charge      ,1,0,2,14,381,0.2932,0,2918974,0,4.6026,Misc services      ,11,1,0,0,0,36.62,0,0,0,491.81,197.24,77.35,178.94,204.65,51.64,0,0,0,0,0,0,0,0,35378.6,22952.01,20178.02,21548.14,0,0,0,0,0,0
70053,Charge      ,2,0,3,112,327,0.0267,0,71307,0,1.1399,Misc services      ,12,1,0,0,0,0,0,243.34,252.33,138.43,352.03,0,0,0,0,94.62,256.63,31.39,53.72,2503.01,2814.78,1903.47,476.93,2724.91,2963.3,716.3,439.31,1,0,0,1,0,0
70054,Charge      ,5,434629,4,41,2689,0.6794,0.2682,265660,0,3.5645,Social services    ,12,1,0,508.73,12.46,7.11,70.39,2480.69,1100.41,2804.47,7827.87,140.54,114.96,107.7,147.8,8.66,28.58,0,4.05,127725.72,89782.06,116027.26,124793.87,45405.32,34003.53,24093.05,46736.19,1,0,0,1,0,0
70055,Charge      ,1,16038,7,252,1406,0.0772,0,2918974,1,2.9869,Manufacturing      ,13,1,1,0,0,0,0,0,0,0,207.02,0,0,0,0,0,0,0,44.91,4779.22,6160.96,6941.63,11549.2,6498.99,5239.64,4796.08,8695.67,2,0,0,0,0,0
70056,Charge      ,4,331452,3,3,3226,0.3898,0.3243,195934,0,4.5128,Misc services      ,11,1,0,62.33,26.69,9.75,0,0,1503.43,315.71,551.3,102.8,954.33,49.08,1008.05,918.9,121.31,0,0,64979.1,85752.71,80659.84,76090.88,44880.54,50260.25,37691.94,40644.15,1,0,0,1,0,0
70057,Charge      ,1,9088,0,34,1471,0.0345,0,31692,1,1.4576,Entertainment      ,16,1,3,0,35.6,19.82,51.54,0,346.28,0,0,33.32,96.39,55.28,74.43,0,0,0,0,0,0,0,0,2622.4,2477.99,1669.27,2960.17,0,0,0,0,0,0
70058,Charge      ,1,0,1,35,981,0.1215,0.231,329136,1,2.4702,Social services    ,10,1,0,232.46,2776.64,104.99,195.75,789.21,0,0,0,0,0,0,0,65.75,242.85,376.43,365.91,7278.88,11188.17,20976.25,11672.08,10919.84,10583.39,32737.73,11989.22,0,0,0,0,0,0
70059,Charge      ,2,80190,1,41,1744,0.1038,0,2918974,0,3.252,Social services    ,9,1,0,13.32,0,26.72,0,1116.68,64.96,190.94,0,309.55,295.75,23.37,581.93,0,0,0,0,0,0,0,0,16920.2,11367.88,11464.96,10197.5,0,0,0,0,0,0
70060,Charge      ,1,7128,2,1,0,0.1283,0,2918974,0,1.0772,Unknown            ,7,3,0,137.12,0,0,0,112.64,0,0,0,0,0,0,0,876.33,0,0,0,11551.47,1895.33,0,0,24310.69,0,0,0,1,0,0,0,0,0
70061,Charge      ,2,0,4,7,212,0.0648,0.6269,1696690,0,1.256,Misc services      ,13,1,0,29.16,9.72,0,0,108.75,0,0,0,3.5,28.46,0.35,31.61,54.02,84.99,197.65,0,6739.31,3413.18,9684.7,7378.34,11373.67,4122.09,1294.72,0,1,1,0,1,0,0
70062,Charge      ,4,13365,5,4,904,0.6951,0.4398,2444858,1,4.9101,Automotive         ,12,1,0,0,0,0,0,0,0,0,0,950.96,341.85,919.76,373.05,0,0,0,0,0,0,0,0,37770.87,104456.51,0,0,0,0,0,0,0,0
70063,Charge      ,1,0,4,355,1635,0.056,0.1831,158460,1,1.5681,Finance            ,7,1,2,0,0,0,0,0,0,0,0,5.59,7.28,1.9,10.97,0,0,0,0,0,0,0,0,7616.68,9786.16,7342.92,4962.97,0,0,0,0,0,0
70064,Charge      ,0,0,1,116,163,0.0676,0,49004,0,1.3971,Misc services      ,11,1,0,35.26,18.91,187.75,15.13,100.76,0,0,727.95,0,0,0,0,238.46,203.13,249.18,561.54,3042.51,5370.12,10608.19,15898.4,10393.99,3983.1,10666.78,10895.61,0,0,0,0,0,0
70065,Charge      ,2,5346,1,130,1972,1.8288,0,2918974,1,4.6394,Office supplies    ,15,1,0,715.84,105.79,473.76,143.17,341.95,521.05,195.51,417.96,766.21,171.19,822.55,114.85,0,0,0,0,0,0,0,0,106771.79,88780.99,71549.88,109410.96,0,0,0,0,0,0
70066,Charge      ,1,0,5,290,450,0.3666,0,2918974,0,3.9635,Misc services      ,11,1,1,2731.47,983.77,539.16,39.2,414.39,32.38,288.16,877.05,169.83,193.8,309.02,54.61,384.85,265.43,230.39,351.01,25963.05,14710.56,17034.24,32234.18,42152.47,13333.89,18275.36,31147.81,1,0,0,1,0,0
70067,Charge      ,5,235224,8,94,594,0.9521,0.6585,3492897,0,6.335,Misc services      ,21,1,0,75.41,69.63,104.18,0,2377.68,0,324.13,0,121.18,494.16,411.74,203.6,7881.84,7412.13,5839.56,5578.11,41296.66,56046.09,81828.75,36808.4,106133.84,73755.49,24911.24,42044.08,2,0,0,2,0,0
70068,Charge      ,0,0,2,203,1079,0.7969,0.231,396150,1,3.6824,Non durable goods  ,11,1,1,18.58,12.38,47.94,47.94,18869.86,2290.03,2994.96,2860.42,902.96,514.81,1185.19,232.58,0,0,0,0,0,0,0,0,131084.23,24726.73,30514.09,21182.49,0,0,0,0,0,0
70069,Charge      ,4,115830,4,9,910,0.6821,0.3466,83161,1,5.7193,Office supplies    ,17,1,0,139.69,220.27,479.08,31.39,0,46.02,910.63,0,122.85,9306.11,824.96,8604,0,0,0,33.39,40345.26,44596.32,236580.13,33165.72,97246.73,21825.27,93493.56,24649.35,0,0,0,0,0,0
70070,Charge      ,1,0,2,284,458,0.5767,0.2986,0,0,5.4256,Transport          ,10,1,0,620.52,333.33,916.65,0,0,0,705.95,380.87,363.47,8.64,305.36,66.75,0,0,0,0,0,0,0,0,98522.65,63118.25,38312.97,15374.04,0,0,0,0,0,0
70071,Charge      ,0,0,1,168,1390,0.7969,0.6679,16456473,0,4.8122,Automotive         ,6,1,1,20.53,0,0,0,0,767.08,0,2376.12,596.89,2509.08,1542.66,1563.31,0,0,0,0,0,0,0,0,164462.45,258226.35,51358.57,28905.52,0,0,0,0,0,0
70072,Charge      ,0,10692,2,53,3182,7.9485,0.3662,381349,1,6.9671,Produce            ,15,1,0,1119004.26,534452.12,524875.45,266125.89,1557.45,2459.66,1305.05,415.19,2249.67,541.89,2382.89,408.67,0,0,0,0,0,0,0,0,1580309.05,803921.17,834741.93,480614.59,0,0,0,0,0,0
70073,Charge      ,4,0,2,217,401,1.7183,0.5365,3304673,0,5.599,Household          ,17,1,1,786.64,700.93,524.42,1721.33,6138.88,464.16,277.72,673.28,1621.29,4917.34,19.86,6518.77,0,14.93,0,32.22,102099.1,67953.08,91353.69,98245.27,149079.91,64458.81,86407.08,85852.57,1,1,0,0,0,0
70074,Charge      ,0,0,3,22,272,0.0259,0.1155,69440,0,1.6485,Social services    ,11,1,0,271.61,42.5,407.94,520.84,0,43.53,18.95,34.47,61.75,25.72,6.31,81.16,0,0,0,0,0,0,0,0,3512.01,1960.28,2357.82,2800.57,0,0,0,0,0,0
70075,Charge      ,4,106920,2,49,3544,10,0.8831,34207020,1,6.461,Misc services      ,20,1,0,13180.29,12774.83,9710.97,8861.52,83463.16,28711.96,74982.67,47351.3,598.56,9036.88,7083.82,2551.62,86.14,85.13,17.04,49.21,499587.08,519118.22,495948.84,454232.33,734191.26,502385.2,529047.91,494386.38,1,0,0,1,0,0
70076,Charge      ,0,0,2,51,327,0.0978,0,38796,0,2.2001,Household          ,13,1,0,115.85,34.25,31.95,1.76,274,0,0,0,167.76,230.14,300.76,97.14,281.49,114,588.46,592.07,7166.31,7745.36,6403.33,5959.6,10884.35,8140.55,6391.54,6412.31,0,0,0,0,0,0
70077,Charge      ,4,98366,7,135,1744,0.4499,0.2986,1450654,1,6.6909,Non durable goods  ,17,1,0,58.16,2132.63,1932.15,2154.9,0,0,0,0,5518.52,29499.18,5646.04,29371.66,0,0,0,31.61,57147.98,36002.44,36528.78,20138.32,94429.85,26808.44,39838.51,25180.11,0,0,0,0,0,0
70078,Charge      ,1,37422,3,100,435,0.106,0,2918974,0,1.148,Non durable goods  ,20,1,0,2.65,1.76,1.76,0.88,0,149.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5757.66,9641.8,7892.14,12565.59,0,0,0,0,0,0
70079,Charge      ,1,0,3,40,545,0.0751,0.1831,277305,0,1.6656,Finance            ,12,1,0,0,0,0,676.93,641.59,0,184.08,0,135.03,0.26,48.84,86.45,0,54.96,33.02,158.68,6758.03,3848.67,3488.7,5454.75,12054.16,3614.98,2349.63,5155.12,1,0,0,1,0,0
70080,Charge      ,0,0,3,8,0,0.1127,0.4513,198075,0,3.7746,Produce            ,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48230.48,3612.98,8008.88,2108.05,0,0,0,0,0,0
70081,Charge      ,0,0,1,89,327,0.0415,0.1155,145631,0,0.9412,Construction       ,13,1,0,0,0,22.2,0.88,0,0,0,0,0,0,0,0,0,0,1002.62,1507.15,139.47,282.34,16301.8,5534.76,328.77,99.5,14625.35,4567.42,0,0,0,0,0,0
70082,Charge      ,3,133650,2,7,981,0.6417,0,2918974,0,3.7207,Unknown            ,15,1,0,422.66,428.62,371.9,156.97,6827.63,4838.37,842.75,2080.33,120.5,75.13,161.92,33.71,0,0,0,0,0,0,0,0,45861.71,37958.49,77283.01,32460.74,0,0,0,0,0,0
70083,Charge      ,0,0,0,4,0,0.1223,0.1831,95076,0,0.8298,Manufacturing      ,8,1,0,0,0,0,0,50.54,8.75,0,0,15.81,0.51,7.11,9.21,0,0,0,0,0,0,0,0,13194.26,2616.67,0,0,0,0,0,0,0,0
70084,Charge      ,0,0,4,14,190,0.0102,0,2918974,0,0.8125,Misc services      ,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.06,1584.36,2006.11,4732.91,0,0,0,0,0,0
70085,Charge      ,1,165726,2,40,381,0.0089,0.5152,535521,0,3.3501,Consumables        ,11,1,0,0,0,133.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904.62,353.78,590.26,63089.08,0,0,0,0,0,0
70086,Charge      ,0,3564,2,89,654,0.7969,0.2682,3961500,0,2.1686,Automotive         ,12,1,0,106.65,18.67,0,0,0,0,0,0,166.58,78.42,173.72,71.28,32.6,67.41,2.71,0,3141.99,8466.23,7811.18,7806.91,1751.31,3370.67,2031.06,1537.54,0,0,0,0,0,0
70087,Charge      ,0,0,4,116,163,0.0025,0.2682,792300,0,2.0395,Social services    ,7,1,0,0,0,0,67.89,0,0,0,0,44.98,150.98,126,69.96,0,0,0,0,165.36,36.81,1270.15,983.63,324,132.47,1729.17,984.63,0,0,0,0,0,0
70088,Charge      ,0,0,7,28,763,0.7969,0.3466,236999,0,1.4738,Consumables        ,15,1,0,0,0,0,0,116.17,60.38,0,0,0,0,0,0,714.93,1182.34,637.38,388.36,13657.34,13483.41,8258.59,9560.16,10737.35,4889.55,3864.42,5273.18,2,1,0,0,0,0
70089,Charge      ,1,0,2,11,981,0.2182,0,2918974,0,1.2971,Unknown            ,11,1,0,25.79,24.89,1030.8,16.88,307.26,0,0,19.44,143.72,121.66,15.74,249.64,0,0,0,0,0,0,0,0,16706.61,11982.75,16342.36,10164.88,0,0,0,0,0,0
70090,Charge      ,4,0,2,276,2750,2.1302,0.1831,223881,1,4.9921,Household          ,8,1,0,894.76,0,44.54,0,4072.2,3620.41,3051.72,5924.39,149.17,222.21,41.88,329.5,0,0,0,0,0,0,0,0,221967.95,127808.69,146563.32,145546.69,0,0,0,0,0,0
70091,Charge      ,1,0,4,3,490,0.0116,0.1155,95076,1,0.8839,Social services    ,8,1,0,0,0,0,0,158.77,0,0,0,14.04,19.59,17.1,16.53,241.79,0,0,0,1299.59,0,0,0,3072.65,0,0,0,2,0,0,1,0,0
70092,Charge      ,0,0,1,39,1962,0.7969,0,2918974,1,2.2867,Unknown            ,15,1,0,59.08,47.43,50.73,32.92,310.55,0,384.17,1015.78,11.84,45.18,14.5,42.52,0,0,0,0,0,0,0,0,25272.26,9864.52,10906.12,9728.07,0,0,0,0,0,0
